sequence_id,status,gps_post_process_available,lidar_poses_available,calibration_available,row_count,duration_s,median_rate_hz,maximum_gap_s,first_timestamp_s,last_timestamp_s,reference_frame,pose_sha256
boreas-2020-12-01-13-26,ELIGIBLE_PUBLIC_GT,True,True,True,9277,961.9593510627747,9.643297428410488,0.1044919490814209,1606847188.054077,1606848150.013428,ENU_ref,05fee17a8af420324eb065bda5e2fe6f23406b3deb8c998f50fc7658612a506d
boreas-2021-01-15-12-17,ELIGIBLE_PUBLIC_GT,True,True,True,8943,927.3455200195312,9.643297428410488,0.1046149730682373,1610731064.10968,1610731991.4552,ENU_ref,aa4e5158d07790ef5f05ba48f11a5ced6ec16cd1a112cfbbdd86787ce69770fb
boreas-2021-01-19-15-08,ELIGIBLE_PUBLIC_GT,True,True,True,9113,944.9531857967377,9.643297428410488,0.10418701171875,1611086935.867676,1611087880.8208618,ENU_ref,c0266b6795d610e6cc18dfb5f46a1ff34a3d5d9d76c0fd94a987da4dd815013a
boreas-2021-01-26-11-22,ELIGIBLE_PUBLIC_GT,True,True,True,13624,1412.7706298828125,9.643297428410488,0.1054689884185791,1611678138.564575,1611679551.3352048,ENU_ref,516b9e86d050e5ee09b4c048271f2372efeaaede4e176b78e3fa0ea631c490ef
boreas-2021-02-02-14-07,ELIGIBLE_PUBLIC_GT,True,True,True,10668,1106.21337890625,9.643297428410488,0.10430908203125,1612292843.994446,1612293950.207825,ENU_ref,43b50fbe65a7ae6c166b19f0c63b942d76be450a6f3698da51350889550fa93a
boreas-2021-03-02-13-38,ELIGIBLE_PUBLIC_GT,True,True,True,10412,1079.6632080078125,9.63771349526766,0.1041262149810791,1614710324.8269038,1614711404.4901118,ENU_ref,69d66eb9a6b4b5991b64ddd3631bf3bb708b996c86e2f997ecb2afd7a80028c1
boreas-2021-03-23-12-43,ELIGIBLE_PUBLIC_GT,True,True,True,9664,1002.0936970710754,9.63771349526766,0.1043701171875,1616517833.6981199,1616518835.791817,ENU_ref,598f8ee649f44670a87059916fcd3b1726b5aa1743a8f05227ea0166de17f4ac
boreas-2021-03-30-14-23,ELIGIBLE_PUBLIC_GT,True,True,True,11161,1157.52587890625,9.637735640952583,0.1043698787689209,1617128628.164063,1617129785.689942,ENU_ref,d7d66a8eab40c4a96a8235c9d11df697ba70a5cac75071166eb394e7ef9458e0
boreas-2021-04-08-12-44,ELIGIBLE_PUBLIC_GT,True,True,True,8866,919.3403317928314,9.63771349526766,0.1063230037689209,1617900271.190186,1617901190.5305178,ENU_ref,fd6c2e44f185dbb66dc669bbf9f756b49b075c924ef8a2e921e9bd3f78ddb23b
boreas-2021-04-13-14-49,ELIGIBLE_PUBLIC_GT,True,True,True,10232,1060.996551990509,9.64088136185393,0.1041419506072998,1618339756.015625,1618340817.012177,ENU_ref,dd74f6e4eb2550ef3f20772fb1f276d346b1c2b6e4e436bd5b5723f50fcab205
boreas-2021-04-15-18-55,ELIGIBLE_PUBLIC_GT,True,True,True,9439,978.7593679428101,9.641900838605267,0.104248046875,1618527348.641358,1618528327.4007258,ENU_ref,491a77c869d740f1abd1cda1037144e01e37f7cdec8226a992eaf45bf3a3a06d
boreas-2021-04-20-14-11,ELIGIBLE_PUBLIC_GT,True,True,True,9476,982.6025700569153,9.643297428410488,0.1055610179901123,1618942335.464264,1618943318.066834,ENU_ref,8424a211905af9b2a2fde79f7605fa72ae9093ee977eeaaf6aa966064891a356
boreas-2021-04-29-15-55,ELIGIBLE_PUBLIC_GT,True,True,True,10336,1071.7833251953125,9.641258099885757,0.1041560173034668,1619726114.8542478,1619727186.637573,ENU_ref,8497040f262eae17e4f8557e5e956adaa4193f17259be542d88e2b3c7885feaf
boreas-2021-05-06-13-19,ELIGIBLE_PUBLIC_GT,True,True,True,10144,1051.8706669807434,9.643297428410488,0.1043100357055664,1620321571.980896,1620322623.851563,ENU_ref,9641250e84bc7eaeee39d20ad39b3992849e715d6538dde7a4888bec567b5f23
boreas-2021-05-13-16-11,ELIGIBLE_PUBLIC_GT,True,True,True,10668,1106.2144169807434,9.643297428410488,0.1040961742401123,1620936720.233032,1620937826.447449,ENU_ref,46830f1f07397b9551d94a7544d49e954df456ca234fe1b9fc86284058ba26ea
boreas-2021-06-03-16-00,ELIGIBLE_PUBLIC_GT,True,True,True,10102,1047.5193800926208,9.641900838605267,0.105133056640625,1622750457.3993208,1622751504.918701,ENU_ref,e1222e242982142129eeebabaa38d70a6cb0afbd65554bb9ab81588cfef13bbb
