relative_path,local_path,s3_key,size_bytes,sha256,etag,last_modified,version_id,status
pyboreas/DATA_LICENSE.md,/home/lj/zero_perturbation_data/boreas_stage1_v1/pyboreas/DATA_LICENSE.md,,315,92368d96fe04291eaa6e56c22faabd9860d34f1d4ce1ecad0f0b3ba9e953a52d,,,,PINNED_OFFICIAL_DEVKIT_SOURCE
pyboreas/DATA_REFERENCE.md,/home/lj/zero_perturbation_data/boreas_stage1_v1/pyboreas/DATA_REFERENCE.md,,14035,66b597c4b83ef65b5433d71da909f636ba47be0ad7193d5034e8a55715555d1b,,,,PINNED_OFFICIAL_DEVKIT_SOURCE
pyboreas/LICENSE,/home/lj/zero_perturbation_data/boreas_stage1_v1/pyboreas/LICENSE,,1544,f40a0817c134eabbd843b1c625380b9cd5e269df92244c822228fc1f08f6ba71,,,,PINNED_OFFICIAL_DEVKIT_SOURCE
pyboreas/README.md,/home/lj/zero_perturbation_data/boreas_stage1_v1/pyboreas/README.md,,6414,3b75572c0b3b3b81e6387ecbd4ed55b0bf79a898b218925c9df2bfa9580e5f78,,,,PINNED_OFFICIAL_DEVKIT_SOURCE
pyboreas/pyboreas/data/calib.py,/home/lj/zero_perturbation_data/boreas_stage1_v1/pyboreas/pyboreas/data/calib.py,,2919,4e8c28a7f0fb0494fa0ee0e38b377f7a879a7f2e22809b974d28fdff1b0876e7,,,,PINNED_OFFICIAL_DEVKIT_SOURCE
pyboreas/pyboreas/data/splits.py,/home/lj/zero_perturbation_data/boreas_stage1_v1/pyboreas/pyboreas/data/splits.py,,9136,e57488ff5f3234f97ba1f321de836920c4434aa1bce32b5569475c7b943517a4,,,,PINNED_OFFICIAL_DEVKIT_SOURCE
pyboreas/pyboreas/utils/utils.py,/home/lj/zero_perturbation_data/boreas_stage1_v1/pyboreas/pyboreas/utils/utils.py,,11309,f22893877b97dccdc0a97569b3dad204e3f0013a655aff4392eec5c58c8671c5,,,,PINNED_OFFICIAL_DEVKIT_SOURCE
source_metadata/boreas_paper_2203.10168.pdf,/home/lj/zero_perturbation_data/boreas_stage1_v1/source_metadata/boreas_paper_2203.10168.pdf,,4802824,29531b5782937ded0a34cb2fd214a4f47c46bfcb6e28fa4b688cb2d14cb43ee8,,,,PINNED_OFFICIAL_PAPER
stage1_payload/boreas-2020-11-26-13-58/applanix/gps_post_process.csv,/home/lj/zero_perturbation_data/boreas_stage1_v1/stage1_payload/boreas-2020-11-26-13-58/applanix/gps_post_process.csv,boreas-2020-11-26-13-58/applanix/gps_post_process.csv,77647402,4556958b5ddf38e6a92d49caa4510fd1ee8f96cd4d5056b85cccf1edd734b68d,8eb85066aa2be181bfd5634f6a01dcd3-5,2023-05-15T03:43:50.000Z,,DOWNLOADED_ALLOWLISTED_STAGE1_OBJECT
stage1_payload/boreas-2020-11-26-13-58/applanix/lidar_poses.csv,/home/lj/zero_perturbation_data/boreas_stage1_v1/stage1_payload/boreas-2020-11-26-13-58/applanix/lidar_poses.csv,boreas-2020-11-26-13-58/applanix/lidar_poses.csv,2597071,c1bfd60f5400e613aac248a146b492535dcf9adb2ea036356a098aa69ac1887f,ad42e74ac11b27051e77486fe0011dd3,2023-05-15T03:43:55.000Z,,DOWNLOADED_ALLOWLISTED_STAGE1_OBJECT
