source_path,destination_path,source_sha256,destination_sha256,semantic_role,copied_exactly,wrapper_path,runtime_class
/home/lj/Degen-LIO/src/capture_range/day2_development_scene.py,src/phase_a_harness/phase_b_generator_frozen/capture_range/day2_development_scene.py,f1632095ab6c433e1e917cf0c9a49551683fce2f106761d41c3c3a5e6517b922,f1632095ab6c433e1e917cf0c9a49551683fce2f106761d41c3c3a5e6517b922,authoritative scene generator,true,src/phase_a_harness/phase_b_generator.py,runtime
/home/lj/Degen-LIO/src/capture_range/day2_development_protocol.py,src/phase_a_harness/phase_b_generator_frozen/capture_range/day2_development_protocol.py,f284008f9a459d2dc330d119c57c90a109bfe417be5a5852ea980971a0e26bd3,f284008f9a459d2dc330d119c57c90a109bfe417be5a5852ea980971a0e26bd3,scene protocol dependency,true,src/phase_a_harness/phase_b_generator.py,runtime
/home/lj/Degen-LIO/src/capture_range/types.py,src/phase_a_harness/phase_b_generator_frozen/capture_range/types.py,649dc0ce4df1783ac8bea5b76599621149eda83beca0be07c321de4a96632204,649dc0ce4df1783ac8bea5b76599621149eda83beca0be07c321de4a96632204,scene immutable types,true,src/phase_a_harness/phase_b_generator.py,runtime
/home/lj/Degen-LIO/src/zero_perturbation/protocol.py,src/phase_a_harness/phase_b_generator_frozen/zero_perturbation/protocol.py,b744409a669cdea7f14b5e6b3ed0a10f7dbf488c19d5b3e98a11b734faed28f7,b744409a669cdea7f14b5e6b3ed0a10f7dbf488c19d5b3e98a11b734faed28f7,Development protocol and seed firewall,true,src/phase_a_harness/phase_b_generator.py,runtime
/home/lj/Degen-LIO/src/zero_perturbation/types.py,src/phase_a_harness/phase_b_generator_frozen/zero_perturbation/types.py,f74527d30e10da4d729de33ae072cc31af65519fe1d9162ea522568fbae20cc2,f74527d30e10da4d729de33ae072cc31af65519fe1d9162ea522568fbae20cc2,snapshot types,true,src/phase_a_harness/phase_b_generator.py,runtime
/home/lj/Degen-LIO/src/zero_perturbation/snapshot_builder.py,src/phase_a_harness/phase_b_generator_frozen/zero_perturbation/snapshot_builder.py,6718fc442439e52327e01622df6356a0167456a6d7d8070f25d6e684ef69b72e,6718fc442439e52327e01622df6356a0167456a6d7d8070f25d6e684ef69b72e,independent sampling noise and dropout builder,true,src/phase_a_harness/phase_b_generator.py,runtime
/home/lj/Degen-LIO/src/zero_perturbation/backend_phase_a_protocol.py,src/phase_a_harness/phase_b_generator_frozen/zero_perturbation/backend_phase_a_protocol.py,d9a875f39abbc4a07075c347fcca39df9af752a6e6aa57aa9a51330d7e92b833,d9a875f39abbc4a07075c347fcca39df9af752a6e6aa57aa9a51330d7e92b833,Stage-0 plan dependency,true,src/phase_a_harness/phase_b_generator.py,runtime
/home/lj/Degen-LIO/src/zero_perturbation/backend_phase_a_v1_2.py,src/phase_a_harness/phase_b_generator_frozen/zero_perturbation/backend_phase_a_v1_2.py,6d65af2050472f9626f12254970204a164c808a27af84d3d6a4d46757583cfff,6d65af2050472f9626f12254970204a164c808a27af84d3d6a4d46757583cfff,Phase A Stage-0 reproduction engine,true,src/phase_a_harness/phase_b_generator.py,runtime
/home/lj/Degen-LIO/configs/zero_perturbation/development_v1.yaml,configs/zero_perturbation/development_v1.yaml,8fe4bcfabfb8492d003b9f690162e106e9fa5745b962ed2c4edfe8666acb291e,8fe4bcfabfb8492d003b9f690162e106e9fa5745b962ed2c4edfe8666acb291e,numerical Development protocol,true,src/phase_a_harness/phase_b_generator.py,runtime
/home/lj/Degen-LIO/configs/zero_perturbation/seed_schedule_v1.json,configs/zero_perturbation/seed_schedule_v1.json,1006b76427b19151389f35a82b04e2b93abca339310bf8d56a5b92a27131f050,1006b76427b19151389f35a82b04e2b93abca339310bf8d56a5b92a27131f050,seed schedule provenance,true,,evidence-only-not-read-at-runtime
