abs_rho_permuted,backend,draw_index,greater_than_or_equal_abs_observed,rho_permuted
0.07862999886827783,OPEN3D_POINT_TO_PLANE,1,False,0.07862999886827783
0.021165262302334432,OPEN3D_POINT_TO_PLANE,2,False,-0.021165262302334432
0.16805045423212647,OPEN3D_POINT_TO_PLANE,3,False,0.16805045423212647
0.01485436793316666,OPEN3D_POINT_TO_PLANE,4,False,0.01485436793316666
0.023704435322077843,OPEN3D_POINT_TO_PLANE,5,False,-0.023704435322077843
0.005452843194748809,OPEN3D_POINT_TO_PLANE,6,False,0.005452843194748809
0.06846301840591788,OPEN3D_POINT_TO_PLANE,7,False,-0.06846301840591788
0.08118151794808481,OPEN3D_POINT_TO_PLANE,8,False,0.08118151794808481
0.058435959957611854,OPEN3D_POINT_TO_PLANE,9,False,-0.058435959957611854
0.0826897949525191,OPEN3D_POINT_TO_PLANE,10,False,-0.0826897949525191
0.008631953661121227,OPEN3D_POINT_TO_PLANE,11,False,-0.008631953661121227
0.013047727810529132,OPEN3D_POINT_TO_PLANE,12,False,-0.013047727810529132
0.0473965245840921,OPEN3D_POINT_TO_PLANE,13,False,0.0473965245840921
0.0620615862629505,OPEN3D_POINT_TO_PLANE,14,False,-0.0620615862629505
0.016630142905645236,OPEN3D_POINT_TO_PLANE,15,False,-0.016630142905645236
0.0585635359116022,OPEN3D_POINT_TO_PLANE,16,False,0.0585635359116022
0.031377511651594185,OPEN3D_POINT_TO_PLANE,17,False,0.031377511651594185
0.01137895202526827,OPEN3D_POINT_TO_PLANE,18,False,-0.01137895202526827
0.11298085331851805,OPEN3D_POINT_TO_PLANE,19,False,-0.11298085331851805
0.040918958404065967,OPEN3D_POINT_TO_PLANE,20,False,-0.040918958404065967
0.06891570727491589,OPEN3D_POINT_TO_PLANE,21,False,-0.06891570727491589
0.10293733345679393,OPEN3D_POINT_TO_PLANE,22,False,0.10293733345679393
0.10083233021595317,OPEN3D_POINT_TO_PLANE,23,False,0.10083233021595317
0.01111351173390125,OPEN3D_POINT_TO_PLANE,24,False,-0.01111351173390125
0.11131619288661172,OPEN3D_POINT_TO_PLANE,25,False,-0.11131619288661172
0.02928073911746247,OPEN3D_POINT_TO_PLANE,26,False,0.02928073911746247
0.047497350741278026,OPEN3D_POINT_TO_PLANE,27,False,0.047497350741278026
0.016142473533133736,OPEN3D_POINT_TO_PLANE,28,False,0.016142473533133736
0.056734261345514785,OPEN3D_POINT_TO_PLANE,29,False,0.056734261345514785
0.028424745619720772,OPEN3D_POINT_TO_PLANE,30,False,0.028424745619720772
0.11625255923536736,OPEN3D_POINT_TO_PLANE,31,False,0.11625255923536736
