sequence_id,status,complete_6dof,independent_reference_source,world_frames,child_frames,row_count,first_timestamp_s,last_timestamp_s,duration_s,median_rate_hz,maximum_timestamp_gap_s,strictly_monotonic,position_finite,first_position_m,first_quaternion_xyzw,timestamp_scale_to_seconds,quaternion_order,quaternion_norm_pass,max_quaternion_norm_error,linear_and_angular_velocity_fields_present,rosbag_optitrack_topic_present,rosbag_optitrack_message_count,sequence_local_reset_detected,gt_sha256
loc_diablo_1,PASS,True,OptiTrack /spaceuma/optitrack/odom,['map'],['base_link'],9175,1745929251.7795417,1745929333.372563,81.59302115440369,120.03617423158377,0.3248772621154785,True,True,"[1.840038239515, 0.299057355818, 0.456659207168]","[-0.005508529719, 0.029901080803, 0.99818797644, -0.051926343574]",1e-09,"qx,qy,qz,qw (scalar-last)",True,6.498135363131041e-13,True,True,9175,False,91abe2f10957c21b6004bf68553d0a93bdd982d5a8b7448ae183d7328318847a
loc_diablo_2,PASS,True,OptiTrack /spaceuma/optitrack/odom,['map'],['base_link'],5843,1745929427.14036,1745929477.782635,50.64227485656738,120.03273903213805,0.04158282279968262,True,True,"[1.968160773706, 0.285314521001, 0.457944525693]","[0.006451286325, 0.031161862174, 0.991321514849, -0.127549886118]",1e-09,"qx,qy,qz,qw (scalar-last)",True,6.618039449790558e-13,True,True,5843,False,cf01d7f0469ad24c74a5dda2a644034b5a4b0d64300875cece680cd80af42638
loc_diablo_3,PASS,True,OptiTrack /spaceuma/optitrack/odom,['map'],['base_link'],8094,1745936300.3565974,1745936370.281926,69.92532849311829,120.01900020030331,0.05831718444824219,True,True,"[2.301557237251, 0.694976992375, 0.495153956798]","[0.013532868481, 0.031021429461, 0.988712137851, -0.145954927466]",1e-09,"qx,qy,qz,qw (scalar-last)",True,6.777911565336581e-13,True,True,8094,False,18df4709b1baae4aa58c9008516d1d0e2d62f01a0b7165ef66fd7a2fb93cb8d5
loc_diablo_4,PASS,True,OptiTrack /spaceuma/optitrack/odom,['map'],['base_link'],10441,1745936529.1010084,1745936620.0436301,90.94262170791626,120.01556598374728,0.0915367603302002,True,True,"[1.654984374632, 0.324216691918, 0.476502499793]","[-0.048284430884, 0.0199033014, 0.984400301233, -0.168013449641]",1e-09,"qx,qy,qz,qw (scalar-last)",True,6.77347067323808e-13,True,True,10441,False,c56ae17634b7c9395275e4e028bb8034251a86bb1d0b23d1aec2d65d4529b2e3
loc_diablo_5,PASS,True,OptiTrack /spaceuma/optitrack/odom,['map'],['base_link'],8700,1745937107.315907,1745937182.2835853,74.96767830848694,120.02586922306482,0.04166269302368164,True,True,"[1.536954509592, 0.272322325824, 0.329527695129]","[-0.031195626632, 0.008356202568, 0.990200732061, -0.135865805059]",1e-09,"qx,qy,qz,qw (scalar-last)",True,6.992184609089236e-13,True,True,8700,False,5885f7fe803a3caffd1f54259de8ce816952612a7fe70bf71b33b53d8fe00aab
loc_diablo_6,PASS,True,OptiTrack /spaceuma/optitrack/odom,['map'],['base_link'],6804,1745938980.4910498,1745939039.8669717,59.375921964645386,119.9846668764482,0.050054073333740234,True,True,"[2.280229790131, 0.689181898622, 0.360068026455]","[-0.059242668888, -0.006026367102, 0.992525107529, -0.106526522555]",1e-09,"qx,qy,qz,qw (scalar-last)",True,6.59250432022418e-13,True,True,6804,False,7818b38b62003b4fa24ed9a39336d2cd0200a3437658cb019c000efd8408d744
loc_diablo_7,PASS,True,OptiTrack /spaceuma/optitrack/odom,['map'],['base_link'],6884,1745939073.575598,1745939133.4681864,59.8925883769989,119.9846668764482,0.04170870780944824,True,True,"[1.472495207181, 0.217772879652, 0.332454608316]","[-0.051037852984, 0.003536879166, 0.996210034891, -0.070343403602]",1e-09,"qx,qy,qz,qw (scalar-last)",True,6.729061752253074e-13,True,True,6884,False,a47f91fd1b50e60ae0d913c835fcaad3f54a4561b45dc9c0d61227da21d01765
loc_diablo_8,PASS,True,OptiTrack /spaceuma/optitrack/odom,['map'],['base_link'],11856,1745939224.4105966,1745939329.8617857,105.4511890411377,119.9846668764482,0.32498908042907715,True,True,"[1.560437358218, 0.055613763957, 0.551745647172]","[0.002689529897, 0.036658863617, 0.998893458003, 0.029338604358]",1e-09,"qx,qy,qz,qw (scalar-last)",True,6.586953205101054e-13,True,True,11856,False,80017f2cdba82195dc2287e5f46d273874ac835b93d4b31329af32c55b29429d
loc_handheld_1,PASS,True,OptiTrack /spaceuma/optitrack/odom,['map'],['base_link'],7915,1745938072.223179,1745938139.9911168,67.76793766021729,120.01556598374728,0.04167652130126953,True,True,"[1.884450587532, 0.075007628726, 1.223518996026]","[-0.076695895015, 0.13034026671, 0.988301322205, -0.019739581826]",1e-09,"qx,qy,qz,qw (scalar-last)",True,7.429612480791548e-13,True,True,7915,False,3115d6642f76a4e9ec24f22cebc7c0fe1add9a34031fb6b1a9074d1b459b223c
loc_handheld_2,PASS,True,OptiTrack /spaceuma/optitrack/odom,['map'],['base_link'],7674,1745938194.0582147,1745938259.9923437,65.93412899971008,120.0018310826276,0.04170393943786621,True,True,"[0.950134375515, -0.288973340349, 0.741299789345]","[-0.194350099224, 0.070318392649, 0.975277913411, -0.078207123712]",1e-09,"qx,qy,qz,qw (scalar-last)",True,7.367439991412539e-13,True,True,7674,False,fa9b4efc919ed21f4163128839c3ba00d0426c7ff4fdbfc5bef2e64db604adf5
loc_handheld_3,PASS,True,OptiTrack /spaceuma/optitrack/odom,['map'],['base_link'],5217,1745938426.2683742,1745938470.986165,44.717790842056274,119.9932483657326,0.03339648246765137,True,True,"[1.812803111677, 0.263114800311, 1.438880221645]","[-0.029878080306, 0.049189330127, 0.992569667909, -0.107206177366]",1e-09,"qx,qy,qz,qw (scalar-last)",True,6.625811010962934e-13,True,True,5217,False,c2142e02ee6b0f71998245710321d4b6204a9996eaac4c0a679066f278530e4d
loc_handheld_4,PASS,True,OptiTrack /spaceuma/optitrack/odom,['map'],['base_link'],5715,1745938517.2200935,1745938566.145683,48.9255895614624,119.97437070938216,0.16651654243469238,True,True,"[1.229943891317, -0.120504613229, 1.383923264954]","[-0.065586967521, 0.067977389316, 0.992080784302, -0.082783704022]",1e-09,"qx,qy,qz,qw (scalar-last)",True,6.867839630331218e-13,True,True,5715,False,a2222e13fdc1abf675637a20e1d8bc31f548d9bb365530f513f708686e583b85
