planned_trial_id,planned_snapshot_id,scene_variant,condition,geometry_seed,measurement_seed,repeat_index,backend
synthetic-confirmatory-v1::2a46be243c2f971c6db51e7458eb488d42a5c2ac3d517ccc10fd466aa546287a::open3d_point_to_plane,synthetic-confirmatory-v1::2a46be243c2f971c6db51e7458eb488d42a5c2ac3d517ccc10fd466aa546287a,GEOMETRY_RICH_ROOM,IDEAL_MATCHED,248284635,,0,open3d_point_to_plane
synthetic-confirmatory-v1::2a46be243c2f971c6db51e7458eb488d42a5c2ac3d517ccc10fd466aa546287a::pcl_point_to_plane,synthetic-confirmatory-v1::2a46be243c2f971c6db51e7458eb488d42a5c2ac3d517ccc10fd466aa546287a,GEOMETRY_RICH_ROOM,IDEAL_MATCHED,248284635,,0,pcl_point_to_plane
synthetic-confirmatory-v1::b441411f956ff34e49940125ff58888e99f216f6bebd9a847299eed2d2b593ab::open3d_point_to_plane,synthetic-confirmatory-v1::b441411f956ff34e49940125ff58888e99f216f6bebd9a847299eed2d2b593ab,GEOMETRY_RICH_ROOM,INDEPENDENT_NOISE_FREE,248284635,,0,open3d_point_to_plane
synthetic-confirmatory-v1::b441411f956ff34e49940125ff58888e99f216f6bebd9a847299eed2d2b593ab::pcl_point_to_plane,synthetic-confirmatory-v1::b441411f956ff34e49940125ff58888e99f216f6bebd9a847299eed2d2b593ab,GEOMETRY_RICH_ROOM,INDEPENDENT_NOISE_FREE,248284635,,0,pcl_point_to_plane
synthetic-confirmatory-v1::d3ad96a212205a1554d17333ff2060e3632c0b9fb8bcd6596bb7d64dc9fad338::open3d_point_to_plane,synthetic-confirmatory-v1::d3ad96a212205a1554d17333ff2060e3632c0b9fb8bcd6596bb7d64dc9fad338,GEOMETRY_RICH_ROOM,FULL_NOISE,248284635,469989467,0,open3d_point_to_plane
synthetic-confirmatory-v1::d3ad96a212205a1554d17333ff2060e3632c0b9fb8bcd6596bb7d64dc9fad338::pcl_point_to_plane,synthetic-confirmatory-v1::d3ad96a212205a1554d17333ff2060e3632c0b9fb8bcd6596bb7d64dc9fad338,GEOMETRY_RICH_ROOM,FULL_NOISE,248284635,469989467,0,pcl_point_to_plane
synthetic-confirmatory-v1::ddfda5f8b4b109201b272072234819b1459fe8b2612a8f9620f8bb9f525803f7::open3d_point_to_plane,synthetic-confirmatory-v1::ddfda5f8b4b109201b272072234819b1459fe8b2612a8f9620f8bb9f525803f7,GEOMETRY_RICH_ROOM,FULL_NOISE,248284635,469989467,1,open3d_point_to_plane
synthetic-confirmatory-v1::ddfda5f8b4b109201b272072234819b1459fe8b2612a8f9620f8bb9f525803f7::pcl_point_to_plane,synthetic-confirmatory-v1::ddfda5f8b4b109201b272072234819b1459fe8b2612a8f9620f8bb9f525803f7,GEOMETRY_RICH_ROOM,FULL_NOISE,248284635,469989467,1,pcl_point_to_plane
synthetic-confirmatory-v1::4b5ecc453439bb29db8884390682bec08d8b7734ea5e4cf64137f94dc36d41ee::open3d_point_to_plane,synthetic-confirmatory-v1::4b5ecc453439bb29db8884390682bec08d8b7734ea5e4cf64137f94dc36d41ee,GEOMETRY_RICH_ROOM,FULL_NOISE,248284635,469989467,2,open3d_point_to_plane
synthetic-confirmatory-v1::4b5ecc453439bb29db8884390682bec08d8b7734ea5e4cf64137f94dc36d41ee::pcl_point_to_plane,synthetic-confirmatory-v1::4b5ecc453439bb29db8884390682bec08d8b7734ea5e4cf64137f94dc36d41ee,GEOMETRY_RICH_ROOM,FULL_NOISE,248284635,469989467,2,pcl_point_to_plane
synthetic-confirmatory-v1::2139efad994f1889496edd8666f158e0618d2e7162d799aeb2e93b99f5ce5aa4::open3d_point_to_plane,synthetic-confirmatory-v1::2139efad994f1889496edd8666f158e0618d2e7162d799aeb2e93b99f5ce5aa4,GEOMETRY_RICH_ROOM,FULL_NOISE,248284635,469989467,3,open3d_point_to_plane
